Order ID,User ID,Customer Name,Customer Email,Phone Number,Order Date,Location Link
477,1,Uriahs Victor,uriahs@example.com,5555555,"Order – May 1, 2022 @ 03:38 PM","https://www.google.com/maps/search/?api=1&query=14.033023248031,-60.923731582988"
478,2,Kaelea Dukes,kaelea@example.com,5555555,"Order – May 2, 2022 @ 03:39 PM","https://www.google.com/maps/search/?api=1&query=14.047386958658,-60.954077538281"
479,3,Estella Wilkinson,estella@example.com,5555555,"Order – May 2, 2022 @ 03:44 PM","https://www.google.com/maps/search/?api=1&query=13.854771257494,-61.059455049595"
480,4,Buck Langdon,buck@example.com,5555555,"Order – May 5, 2022 @ 03:53 PM","https://www.google.com/maps/search/?api=1&query=14.027360874646,-60.945704239238"
481,5,Alise Courtenay,kaelea@example.com,5555555,"Order – May 5, 2022 @ 03:55 PM","https://www.google.com/maps/search/?api=1&query=14.015549116027,-60.944962507582"
482,6,Wane Smith,wane@example.com,5555555,"Order – May 5, 2022 @ 04:15 PM","https://www.google.com/maps/search/?api=1&query=14.027360874646,-60.945704239238"
483,7,Starr Jakeman,starr@example.com,5555555,"Order – May 4, 2022 @ 04:17 PM","https://www.google.com/maps/search/?api=1&query=14.015549116027,-60.944962507582"
484,8,Jasmyn Abney,jasmyn@example.com,5555555,"Order – May 4, 2022 @ 04:54 PM","https://www.google.com/maps/search/?api=1&query=14.027360874646,-60.945704239238"
485,9,Rhonda Williams,rhonda@example.com,5555555,"Order – May 5, 2022 @ 04:58 PM","https://www.google.com/maps/search/?api=1&query=14.01128167256,-60.967721793707"
486,10,Ambrosine Layton,ambrosine@example.com,5555555,"Order – May 5, 2022 @ 07:02 PM","https://www.google.com/maps/search/?api=1&query=14.01128167256,-60.967721793707"
487,11,Lorinda Coupe,lorinda@example.com,5555555,"Order – May 5, 2022 @ 07:09 PM","https://www.google.com/maps/search/?api=1&query=14.01128167256,-60.967721793707"
